stop_lat,stop_lon,stop_name,road,direction,geohash
54.60121,-5.878218,"Holywood Rd, Park Avenue",,Inbound,gceyd5ze5e6b
54.6139,-5.86184,"Holywood Rd, Tillysburn Park",Hollywood Road,Outbound,gceydw5t10z7
54.6139,-5.86184,"Holywood Rd, Tillysburn Park",Hollywood Road,Inbound,gceydw5t10z7
54.5456,-5.93039,"Hydebank, Milltown Road",Milltown Rd,Outbound,gcey319x5uu9
54.5456,-5.93039,"Hydebank, Milltown Road",Milltown Rd,Inbound,gcey319x5uu9
54.678726,-5.998112,"Hydepark, Trench Road",,Outbound,gcexp9bq9v79
54.68975,-5.912227,"Jordanstown Road, Bus stop",,Outbound,gcez17yyghk4
54.689882,-5.912814,"Jordanstown Road, Bus stop",,Inbound,gcez17yrtkym
54.5814,-5.97978,"Kennedy Cen, Falls Road",Falls Road,Outbound,gcewxbjxtn2v
54.5804,-5.98032,"Kennedy Cen, Falls Road",Falls Road,Inbound,gcewxbj3bkn0
54.5915731,-5.8535886,"Kings Road, Barnetts Rd",,Outbound,gceydf1dcqzf
54.5915731,-5.8535886,"Kings Road, Barnetts Rd",,Inbound,gceydf1dcqzf
54.585,-5.84309,"Kings Road, Gilnahirk Rd",Gilnahirk Road,Outbound,gceye0chwjs2
54.5886233,-5.8314899,"Kings Road, Sperrin Park",Dundonald,Outbound,gceye399u2vv
54.588485,-5.8321872,"Kings Road, Sperrin Park",Dundonald,Inbound,gceye390upnh
54.6199,-5.85903,"Knocknagoney, Tesco",Tesco,Outbound,gceydxjxfxqd
54.6199,-5.85903,"Knocknagoney, Tesco",Tesco,Inbound,gceydxjxfxqd
54.5655,-6.00007,"Ladybrook, Turning Circle",Ladybrook Cross,Outbound,gcewrmqgh4rw
54.5655,-6.00007,"Ladybrook, Turning Circle",Ladybrook Cross,Inbound,gcewrmqgh4rw
54.5549,-6.04187,"Lagmore Avenue, Teeling Avenue",Lagmore Ave,Outbound,gcewqe2mq4rn
54.5549,-6.04187,"Lagmore Avenue, Teeling Avenue",Lagmore Ave,Inbound,gcewqe2mq4rn
54.5484,-6.02946,"Lagmore, Lagmore Dale",Lagmore Dale,Outbound,gcewqf1rrqub
54.5484,-6.02909,"Lagmore, Lagmore Dale",Lagmore Dale,Inbound,gcewqf1z2nb8
54.5567,-6.04147,"Lagmore, Lagmore View",Lagmore View,Outbound,gcewqe8xzd12
54.5567,-6.04136,"Lagmore, Lagmore View",Lagmore View,Inbound,gcewqe8zf452
54.5527,-6.04007,"Lagmore, Mount Eagles",Lagmore Ave,Outbound,gcewqe1b80m7
54.5527,-6.04007,"Lagmore, Mount Eagles",Lagmore Ave,Inbound,gcewqe1b80m7
54.5563,-5.89233,"Laurelgrove, Ballymaconaghy Road",Ballymaconaghy Road,Outbound,gcey3gtm6z2m
54.5563,-5.89233,"Laurelgrove, Ballymaconaghy Road",Ballymaconaghy Road,Inbound,gcey3gtm6z2m
54.6279,-5.97985,"Ligoniel, Mountainhill",Mountainhill Road,Outbound,gcewzbtwe6ss
54.6279,-5.97985,"Ligoniel, Mountainhill",Mountainhill Road,Inbound,gcewzbtwe6ss
54.6273508,-5.9859717,"Ligoniel, Wolfhill",Ligoniel Road,Outbound,gcewzb95ksrb
54.6219,-5.93817,"Limestone Road, Antrim Road",Antrim Road,Outbound,gcey8zegws5t
54.6181,-5.93824,"Limestone Road, Antrim Road",Antrim Road,Inbound,gcey8ygvkzz3
54.5863,-5.93982,"Lisburn Rd, City Hospital",Lisburn Road,Outbound,gcey8c4u0pv4
54.5864,-5.93986,"Lisburn Rd, City Hospital",Lisburn Road,Inbound,gcey8c4sz4rr
54.5676,-5.96898,"Lisburn Rd, Kings Hall",Lisburn Road,Outbound,gcey2jtx29vv
54.5682,-5.96853,"Lisburn Rd, Kings Hall",Lisburn Road,Inbound,gcey2jvfg1v2
54.5752,-5.95557,"Lisburn Rd, Marlborough Pk",Lisburn Road,Outbound,gcey2rp794th
54.5753,-5.95569,"Lisburn Rd, Marlborough Pk",Lisburn Road,Inbound,gcey2rphnm79
